rank,id,name,category,tier,source_surface,requires_gpu,competitor_validation_0_100,estimated_customer_benefit_pct,business_value_0_100,weighted_score_0_100,top_80,uncertainty,capability_family,competitor_evidence_band,score_rationale
97,service-lane-cycle,Service Lane Cycle Time,Automotive & Parking,pro,vision,True,88,10,78,56.7,no,High,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=10% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
98,pharmacy-window-queue,Pharmacy Pickup-Zone Queue Estimate,Healthcare & Senior Living,starter,vision,True,94,7,76,56.35,no,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=7% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
99,livestock-down,Pen Motion Watch,People & Safety,pro,vision,True,58,28,80,56.3,no,High,vertical_visual_workflow,adjacent,"vertical visual workflow; competitor evidence=adjacent; estimated reach=28% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
100,access-all-event-burst,Access Event Burst Review,Security & Access,pro,access,False,58,30,78,56.2,no,High,vertical_visual_workflow,adjacent,"vertical visual workflow; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
101,coolant-leak-visual,Dark Floor-Region Change,Property & Liability,pro,vision,True,74,30,68,56.2,no,High,industrial_operations,adjacent,"industrial operations; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
102,hand-hygiene,Sink-Stop Sequence Check,Compliance,enterprise,vision,True,72,8,88,56.0,no,High,ppe_safety,adjacent,"ppe safety; competitor evidence=adjacent; estimated reach=8% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
103,pool-drowning-watch,Pool Stillness Review,People & Safety,enterprise,vision,True,58,6,98,55.8,no,High,vertical_visual_workflow,adjacent,"vertical visual workflow; competitor evidence=adjacent; estimated reach=6% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
104,change-machine-watch,Change Machine Watch,Security & Access,starter,vision,True,88,7,78,55.65,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=7% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
105,two-person-rule,Solo Server-Room Dwell Alert,Compliance,enterprise,vision,True,72,16,80,55.6,no,Medium,occupancy_counting,adjacent,"occupancy counting; competitor evidence=adjacent; estimated reach=16% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
106,opening-time-snapshot,Opening-Time Snapshot,Retail & QSR,pro,protect,True,78,30,64,55.6,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
107,viewing-room-privacy,Viewing Room Privacy Window,Compliance,pro,vision,True,94,20,62,55.3,no,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=20% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
108,machine-idle,Machine-Zone Motion-Energy Summary,Manufacturing & Warehouse,enterprise,vision,True,88,15,70,55.25,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=15% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
109,yard-dwell,Trailer Yard Dwell,Manufacturing & Warehouse,pro,vision,True,88,10,74,55.1,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=10% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
110,protect-event-silence-watch,Protect Event Silence Watch,Security & Access,pro,protect,False,72,35,62,55.05,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=35% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
111,pallet-count,Staging Object Count,Manufacturing & Warehouse,enterprise,vision,True,94,13,67,54.85,no,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=13% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
112,scheduled-reference-snapshot,Scheduled Reference Snapshot,Compliance,pro,protect,True,78,30,62,54.8,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
113,snapshot-checksum-manifest,Snapshot Checksum Manifest,Compliance,pro,protect,True,78,30,62,54.8,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
114,snapshot-retention-audit,Snapshot Retention Audit,Compliance,pro,protect,True,78,30,62,54.8,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
115,snapshot-zone-crop,Snapshot Zone Crop,Compliance,pro,protect,True,78,30,62,54.8,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
116,table-turn,Table Turn Tracker,Retail & QSR,pro,vision,True,88,15,68,54.45,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=15% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
117,playground-alone,Lone Small-Figure Playground Alert,People & Safety,pro,vision,True,62,6,92,54.4,no,High,perimeter_object_analytics,adjacent,"perimeter object analytics; competitor evidence=adjacent; estimated reach=6% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
118,gate-cycle-time,Gate Cycle Time,Manufacturing & Warehouse,pro,vision,True,88,12,70,54.2,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=12% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
119,specimen-chain,Specimen Drop-Zone Dwell Log,Healthcare & Senior Living,enterprise,vision,True,88,5,76,54.15,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=5% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
120,access-first-last-door-event,Daily First and Last Door Event,Intelligence,pro,access,False,94,28,52,54.1,no,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=28% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
121,play-yard-cluster,Play Yard Motion Spike,People & Safety,pro,vision,True,78,5,82,54.05,no,High,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=5% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
122,protect-event-burst-review,Protect Event Burst Review,Security & Access,pro,protect,False,72,32,62,54.0,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=32% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
123,tarmac-fod,Ramp Change Watch,People & Safety,enterprise,vision,True,58,3,96,53.95,no,High,perimeter_object_analytics,adjacent,"perimeter object analytics; competitor evidence=adjacent; estimated reach=3% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
124,wash-bay-queue,Service Bay Queue,Manufacturing & Warehouse,starter,vision,True,94,7,70,53.95,no,High,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=7% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
125,protect-camera-count-trend,Protect Camera Count Trend,Intelligence,pro,protect,False,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
126,protect-camera-fleet-inventory,Protect Camera Fleet Inventory,Intelligence,pro,protect,False,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
127,protect-camera-state-flap-log,Protect Camera State Flap Log,Intelligence,pro,protect,False,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
128,protect-event-daily-digest,Protect Event Daily Digest,Intelligence,pro,protect,False,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
129,protect-event-duration-outlier,Protect Event Duration Outlier Report,Intelligence,pro,protect,False,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
130,protect-event-hourly-histogram,Protect Event Hourly Histogram,Intelligence,pro,protect,False,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
131,protect-event-ingest-lag,Protect Event Ingest Lag,Intelligence,pro,protect,False,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
132,rtsp-effective-fps,RTSP Effective FPS Monitor,Intelligence,pro,protect,True,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
133,rtsp-reconnect-rate,RTSP Reconnect Rate,Intelligence,pro,protect,True,72,42,52,53.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
134,protect-event-rate-baseline,Protect Event Rate Baseline,Intelligence,pro,protect,False,72,42,52,53.5,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
135,rtsp-frame-hash-duplication,RTSP Duplicate Frame Hash Report,Intelligence,pro,protect,True,72,42,52,53.5,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
136,protect-camera-discovery-delta,Protect Camera Discovery Delta,Security & Access,pro,protect,False,72,30,62,53.3,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
137,fuel-dock-dwell,Fuel Dock Dwell,Intelligence,starter,vision,True,88,30,52,53.3,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
138,funeral-home-flow,Visitation Room Flow,Intelligence,starter,vision,True,88,30,52,53.3,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
139,housekeeping-pace,Housekeeping Pace Tracker,Intelligence,pro,vision,True,88,30,52,53.3,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
140,vending-route-verify,Vending Route Verification,Intelligence,pro,vision,True,88,30,52,53.3,no,High,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
141,snapshot-write-health,Snapshot Write Health,Security & Access,pro,protect,True,78,30,58,53.2,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
142,hangar-door-state,Hangar Door After-Hours,Security & Access,starter,vision,True,72,9,80,53.15,no,Medium,perimeter_object_analytics,adjacent,"perimeter object analytics; competitor evidence=adjacent; estimated reach=9% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
143,scrap-scale-queue,Scale House Queue,Manufacturing & Warehouse,pro,vision,True,94,4,70,52.9,no,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=4% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
144,pump-turns,Pump Turn Counter,Intelligence,starter,vision,True,86,30,52,52.8,no,Low,vehicle_parking,direct,"vehicle parking; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
145,handicap-stall-monitor,Accessible Stall Usage Log,Automotive & Parking,starter,vision,True,94,15,60,52.75,no,High,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=15% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
146,manual-review-snapshot,Manual Review Snapshot,Security & Access,pro,protect,True,78,24,62,52.7,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=24% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
147,access-door-activity-heatmap,Door Activity Heatmap,Intelligence,pro,access,False,88,28,52,52.6,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=28% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
148,mri-zone-safety,MRI Approach Presence Alert,Healthcare & Senior Living,enterprise,vision,True,58,3,92,52.35,no,Medium,loitering_intrusion,adjacent,"loitering intrusion; competitor evidence=adjacent; estimated reach=3% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
149,rack-door-open,Rack Door Watch,Security & Access,pro,vision,True,72,9,78,52.35,no,High,perimeter_object_analytics,adjacent,"perimeter object analytics; competitor evidence=adjacent; estimated reach=9% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
150,snow-ice-watch,White-Coverage Walkway Watch,Property & Liability,starter,vision,True,58,30,68,52.2,no,High,vertical_visual_workflow,adjacent,"vertical visual workflow; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
151,ice-cooler-stock,Ice Cooler Stock Watch,Retail & QSR,starter,vision,True,78,20,64,52.1,no,High,retail_operations,adjacent,"retail operations; competitor evidence=adjacent; estimated reach=20% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
152,driver-cab-time,Cab/Dock Concurrent Presence,Manufacturing & Warehouse,enterprise,vision,True,74,15,70,51.75,no,Medium,industrial_operations,adjacent,"industrial operations; competitor evidence=adjacent; estimated reach=15% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
153,pay-station-queue,Pay Station Queue,Automotive & Parking,starter,vision,True,94,12,60,51.7,no,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=12% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
154,unit-door-open,Storage Unit Door Watch,Security & Access,starter,vision,True,72,7,78,51.65,no,High,perimeter_object_analytics,adjacent,"perimeter object analytics; competitor evidence=adjacent; estimated reach=7% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
155,pump-dwell,Pump Dwell Time,Automotive & Parking,starter,vision,True,88,16,60,51.6,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=16% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
156,protect-event-jsonl-archive,Protect Event JSONL Archive,Compliance,pro,protect,False,78,20,62,51.3,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=20% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
157,lab-coat-zone,Clinical-Attire Color Check,Healthcare & Senior Living,pro,vision,True,76,5,76,51.15,no,High,ppe_safety,adjacent,"ppe safety; competitor evidence=adjacent; estimated reach=5% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
158,snapshot-contact-sheet,Snapshot Contact Sheet,Intelligence,pro,protect,True,78,30,52,50.8,no,High,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
159,desk-hotel-mapping,Desk Utilization Map,Intelligence,pro,vision,True,94,18,52,50.6,no,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=18% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
160,gym-equipment-usage,Equipment Usage Analytics,Intelligence,starter,vision,True,88,22,52,50.5,no,High,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=22% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
161,meeting-room-usage,Meeting Room Presence Estimate,Intelligence,starter,vision,True,88,22,52,50.5,no,High,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=22% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
162,vault-approach,Solo Vault-Zone Dwell Alert,Compliance,enterprise,vision,True,94,6,62,50.4,no,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=6% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
163,lot-inventory-count,Lot Inventory Count,Automotive & Parking,pro,vision,True,94,8,60,50.3,no,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=8% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
164,clip-export-failure-digest,Clip Export Failure Digest,Security & Access,enterprise,protect,False,62,28,62,50.1,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=28% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
165,protect-event-page-saturation,Protect Event Page Saturation Watch,Security & Access,pro,protect,False,62,44,48,50.1,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=44% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
166,dispensary-capacity,Sales Floor Capacity,Compliance,pro,vision,True,94,5,62,50.05,no,High,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=5% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
167,service-response-time,Service Response Time,Intelligence,enterprise,vision,True,88,20,52,49.8,no,High,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=20% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
168,protect-camera-api-latency,Protect Camera API Latency,Intelligence,starter,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
169,protect-camera-model-mix,Protect Camera Model Mix,Intelligence,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
170,protect-camera-name-collision-audit,Protect Camera Name Collision Audit,Compliance,starter,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
171,protect-event-end-field-audit,Protect Event End Field Audit,Compliance,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
172,protect-event-schema-drift,Protect Event Schema Drift Watch,Compliance,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
173,protect-event-score-distribution,Protect Event Score Distribution,Intelligence,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
174,protect-event-start-field-audit,Protect Event Start Field Audit,Compliance,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
175,protect-event-type-inventory,Protect Event Type Inventory,Intelligence,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
176,protect-event-watermark-checkpoint,Protect Event Watermark Checkpoint,Compliance,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
177,protect-stream-fps-register,Protect Stream FPS Register,Intelligence,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
178,protect-stream-resolution-register,Protect Stream Resolution Register,Intelligence,pro,protect,False,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
179,rtsp-aspect-ratio-drift,RTSP Aspect Ratio Drift,Compliance,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
180,rtsp-blockiness-estimate,RTSP Compression Blockiness Estimate,Property & Liability,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
181,rtsp-color-flicker,RTSP Color Flicker Watch,Property & Liability,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
182,rtsp-dark-corner-vignetting,RTSP Dark-Corner Vignetting Watch,Property & Liability,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
183,rtsp-dead-pixel-cluster-watch,RTSP Persistent Pixel Cluster Watch,Property & Liability,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
184,rtsp-frame-size-consistency,RTSP Frame Size Consistency,Compliance,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
185,rtsp-grayscale-channel-audit,RTSP Grayscale Channel Audit,Compliance,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
186,rtsp-luminance-flicker,RTSP Luminance Flicker Watch,Property & Liability,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
187,rtsp-startup-latency,RTSP Startup Latency,Intelligence,pro,protect,True,62,42,48,49.4,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
188,rtsp-color-cast-watch,RTSP Color Cast Watch,Property & Liability,pro,protect,True,62,42,48,49.4,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
189,rtsp-noise-estimate,RTSP Image Noise Estimate,Property & Liability,pro,protect,True,62,42,48,49.4,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
190,rtsp-stuck-row-column-watch,RTSP Stuck Row or Column Watch,Property & Liability,pro,protect,True,62,42,48,49.4,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
191,route-verification,Route-Zone Presence Log,Intelligence,pro,vision,True,86,20,52,49.3,no,Low,vehicle_parking,direct,"vehicle parking; competitor evidence=direct; estimated reach=20% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
